Block;Triple
;
Spiel; (Spiel, sein, Brettspiel)
Spiel; (Brettspiel, sein, Gesellschafftsspiel)
Spiel; (Spiel, sein, Komplex)
Spiel;(Spiel, spieldauer_haben, zwei_Stunden)
;
Spieler; (Spiel, haben, Spieler)
Spieler; (Spieler, Anzahl, zwei)
Spieler; (Gegner, sein, Spieler)
Spieler; (Spieler, reihenfolge, Abwechselnd)
Spieler; (Spieler, gegeneinander, Gegner)
;
Ende; (Spiel, haben, Spielausgang)
Ende; (Spielausgang, Anzahl, drei)
Ende; (Spielausgang, option, Sieg)
Ende; (Spielausgang, option, Remis)
Ende; (Spielausgang, option, Niederlage)
Ende; (Sieg, bedingung_haben, Rufen)
Ende; (Matt, erzeugen, Siegchance)
;
Spielziel; (Spiel, haben, Ziel)
Spielziel; (König_schlagen, sein, Ziel)
Spielziel; (Rufen, bedingung_haben, Spiel_matt)
Spielziel; (Siegbedingung, benoetigen, Spiel_matt)
;
Spielzuege; (Spiel, haben, Spielzug)
Spielzuege; (Spielzug, Anzahl, eins)
Spielzuege; (Spiel, eingeteilt_sein_in, Runde)
Spielzuege; (Runde, enthalten, Waehlen)
Spielzuege; (Runde, enthalten, Setzen)
Spielzuege; (Waehlen, sein, Spielzug)
Spielzuege; (Waehlen, heraus, eigene_Figuren)
Spielzuege; (Waehlen, waehlen, Spielfigur)
Spielzuege; (Waehlen, fuer, Selbst)
Spielzuege; (Setzen, sein, Spielzug)
Spielzuege; (Setzen, nutzen, eigene_Figuren)
Spielzuege; (Rufen, sein, Aktion)
Spielzuege; (Rufen, sagen, Spiel_Matt)
Spielzuege; (Rufen, folgen_auf, Setzen)
Spielzuege; (Setzen, dorthin, Feld)
Spielzuege; (Setzen, sein, Final)
Spielzuege; (Setzen, auf, Spielbrett)
Spielzuege; (Setzen, setzen, Spielfigur)
;
Spielfiguren; (Spiel, haben, Spielfigur)
Spielfiguren; (Spielfigur, haben, Figurenmerkmal)
Spielfiguren; (Spielfigur, Anzahl, zweiunddreißig)
Spielfiguren; (Figurenmerkmal, Anzahl, zwei)
Spielfiguren; (Farbe, sein, Figurenmerkmal)
Spielfiguren; (Form, sein, Figurenmerkmal)
Spielfiguren; (Struktur, nicht_sein, Figurenmerkmal)
Spielfiguren; (Groesse, nicht_sein, Figurenmerkmal)
;
Spielbrett; (Spiel, haben, Spielbrett)
Spielbrett; (Spiel, nicht_haben, Figurenvorrat)
Spielbrett; (Feld, Anzahl, vierundsechzig)
Spielbrett; (Spielbrett, haben, Feld)
Spielbrett; (Spielbrett, sein, Spielbestandteil)
;
Strategien; (Spiel, haben, Taktik)
Strategien; (Doppelangriff, sein, Taktik)
Strategien; (Taktik, sein, Kombinierbarkeit)
