Index,Block,Start Node,Relation,End Node,Condition,Complexity
1,Spiel,Spiel,sein,Brettspiel,,1
2,Spiel,Brettspiel,sein,Gesellschaftsspiel,,1
3,Spiel,Spiel,sein,Komplex,"(Spiel, sein, Brettspiel)",1
4,Spiel,Spiel,spieldauer_haben,Zehn_Minuten,"(Spiel, sein, Brettspiel)",1
5,Spieler,Spiel,haben,Spieler,"(Spiel, sein, Brettspiel)",1
6,Spieler,Spieler,Anzahl,zwei,"(Spiel, haben, Spieler)",1
7,Spieler,Gegner,sein,Spieler,"(Spiel, haben, Spieler)",1
8,Spieler,Spieler,reihenfolge,Abwechselnd,"(Spiel, haben, Spieler)",1
9,Spieler,Spieler,gegeneinander,Gegner,"(Spiel, haben, Spieler)",1
10,Ende,Spiel,haben,Spielausgang,"(Spiel, sein, Brettspiel)",1
11,Ende,Spielausgang,Anzahl,drei," (Spiel, haben, Spielausgang)",1
12,Ende,Spielausgang,option,Sieg," (Spiel, haben, Spielausgang),(Spielausgang, Anzahl, drei)",1
13,Ende,Spielausgang,option,Unentschieden," (Spiel, haben, Spielausgang),(Spielausgang, Anzahl, drei)",1
14,Ende,Spielausgang,option,Niederlage," (Spiel, haben, Spielausgang),(Spielausgang, Anzahl, drei)",1
15,Ende,Sieg,bedingung_haben,Rufen," (Spielausgang, option, Sieg)",1
16,Ende,Reihe,erzeugen,Siegchance," (Reihe, sein, Ziel), (Rufen, bedingung_haben, Reihe)",1
17,Spielziel,Spiel,haben,Ziel," (Spiel, sein, Brettspiel)",1
18,Spielziel,Reihe,sein,Ziel," (Spiel, haben, Ziel),(Spiel, haben, Spielfigur),(Spiel, haben, Spielbrett)",1
19,Spielziel,Rufen,bedingung_haben,Reihe,"(Spiel, sein, Brettspiel)",1
20,Spielziel,Reihe,gleich,Figurenmerkmal," (Spiel, haben, Ziel), (Spiel, haben, Spielfigur), (Spielfigur, haben, Figurenmerkmal), (Spiel, haben, Spielbrett),(Reihe, sein, Ziel)",3
21,Spielziel,Reihe,laenge,vier,"(Reihe, sein, Ziel),(Spiel, haben, Ziel),(Spiel, haben, Spielfigur)",1
22,Spielziel,Siegbedingung,benoetigen,Reihe,"(Reihe, sein, Ziel)",1
23,Spielziel,Reihe,haben,Anordnung,"(Spiel, haben, Ziel),(Reihe, sein, Ziel)",1
24,Spielziel,Reihe,bestehen_aus,Figuren,"(Spiel, haben, Ziel),(Reihe, sein, Ziel),(Spiel, haben, Spielfigur)",1
25,Spielziel,Anordnung,Anzahl,drei,"(Reihe, haben, Anordnung),(Reihe, sein, Ziel)",1
26,Spielziel,Anordnung,option,Diagonal,"(Reihe, haben, Anordnung)",1
27,Spielziel,Anordnung,option,Vertikal,"(Reihe, haben, Anordnung)",1
28,Spielziel,Anordnung,option,Horizontal,"(Reihe, haben, Anordnung)",1
29,Spielzuege,Spiel,haben,Spielzug,"(Spiel, sein, Brettspiel)",1
30,Spielzuege,Spielzug,Anzahl,zwei,"(Spiel, haben, Spielzug)",1
31,Spielzuege,Spiel,eingeteilt_sein_in,Runde,"(Spiel, sein, Brettspiel)",1
32,Spielzuege,Runde,enthalten,Waehlen,"(Spiel, haben, Spielzug),(Spiel, eingeteilt_sein_in, Runde)",1
33,Spielzuege,Runde,enthalten,Setzen,"(Spiel, haben, Spielzug),(Spiel, eingeteilt_sein_in, Runde)",1
34,Spielzuege,Setzen,folgen_auf,Waehlen,"(Spiel, haben, Spielzug)",1
35,Spielzuege,Waehlen,folgen_auf,Setzen,"(Spiel, haben, Spielzug)",1
36,Spielzuege,Waehlen,sein,Spielzug,"(Spiel, haben, Spielzug)",1
37,Spielzuege,Waehlen,heraus,Figurenvorrat,"(Spiel, haben, Spielzug)",1
38,Spielzuege,Waehlen,waehlen,Spielfigur,"(Spiel, haben, Spielzug), (Waehlen, sein, Spielzug), (Spiel, haben, Spielfigur)",1
39,Spielzuege,Waehlen,fuer,Gegner,"(Waehlen, sein, Spielzug),(Waehlen, heraus, Figurenvorrat),(Spieler, gegeneinander, Gegner),(Waehlen, waehlen, Spielfigur)",1
40,Spielzuege,Waehlen,spielfigur_geben,Gegner,"(Waehlen, fuer, Gegner),(Waehlen, waehlen, Spielfigur)",1
41,Spielzuege,Setzen,sein,Spielzug,"(Spiel, haben, Spielzug)",1
42,Spielzuege,Setzen,nutzen,Ausgewaehlt,"(Waehlen, waehlen, Spielfigur),(Waehlen, fuer, Gegner)",1
43,Spielzuege,Rufen,sein,Aktion,"(Spiel, haben, Spielzug),(Setzen, folgen_auf, Waehlen)",1
44,Spielzuege,Rufen,sagen,Spielname_Spiel,"(Spiel, haben, Spielzug),(Setzen, folgen_auf, Waehlen),(Rufen, sein, Aktion)",1
45,Spielzuege,Rufen,folgen_auf,Setzen,"(Rufen, sein, Aktion),(Setzen, sein, Spielzug)",1
46,Spielzuege,Setzen,dorthin,Feld,"(Setzen, sein, Spielzug)",1
47,Spielzuege,Setzen,sein,Final,"(Setzen, sein, Spielzug), (Setzen, auf, Spielbrett), (Setzen, setzen, Spielfigur)",2
48,Spielzuege,Setzen,auf,Spielbrett,"(Setzen, sein, Spielzug),(Spiel, haben, Spielbrett)",1
49,Spielzuege,Setzen,setzen,Spielfigur,"(Spiel, haben, Spielfigur), (Setzen, sein, Spielzug)",1
50,Spielfiguren,Spiel,haben,Spielfigur," (Spiel, sein, Brettspiel)",1
51,Spielfiguren,Spielfigur,haben,Figurenmerkmal," (Spiel, haben, Spielfigur)",1
52,Spielfiguren,Spielfigur,Anzahl,sechzehn," (Spiel, haben, Spielfigur)",1
53,Spielfiguren,Figurenmerkmal,Anzahl,vier,"(Spiel, haben, Spielfigur)",1
54,Spielfiguren,Farbe,sein,Figurenmerkmal,"(Spiel, haben, Spielfigur),(Spielfigur, haben, Figurenmerkmal)",1
55,Spielfiguren,Form,sein,Figurenmerkmal,"(Spiel, haben, Spielfigur),(Spielfigur, haben, Figurenmerkmal)",1
56,Spielfiguren,Struktur,sein,Figurenmerkmal,"(Spiel, haben, Spielfigur),(Spielfigur, haben, Figurenmerkmal)",1
57,Spielfiguren,Groesse,sein,Figurenmerkmal,"(Spiel, haben, Spielfigur),(Spielfigur, haben, Figurenmerkmal)",1
58,Spielbrett,Spiel,haben,Spielbrett,"(Spiel, sein, Brettspiel)",1
59,Spielbrett,Spiel,haben,Figurenvorrat," (Spiel, haben, Spielfigur)",1
60,Spielbrett,Feld,Anzahl,sechzehn,"(Spiel, haben, Spielbrett)",1
61,Spielbrett,Spielbrett,haben,Feld,"(Spiel, haben, Spielbrett)",1
62,Spielbrett,Spielbrett,sein,Spielbestandteil,"(Spiel, haben, Spielbrett)",1
63,Strategien,Spiel,haben,Taktik,"(Spiel, sein, Brettspiel)",1
64,Strategien,Aktiv,sein,Taktik,"(Spiel, haben, Taktik),(Gegner, sein, Spieler)",1
65,Strategien,Passiv,sein,Taktik,"(Spiel, haben, Taktik),(Gegner, sein, Spieler)",1
66,Strategien,Blocken,sein,Passiv,"(Spiel, haben, Taktik),(Passiv, sein, Taktik)",1
67,Strategien,Taktik,sein,Kombinierbarkeit,"(Spiel, haben, Taktik),(Reihe, gleich, Figurenmerkmal),(Passiv, sein, Taktik),(Reihe, laenge, vier)",1
68,Additional,Siegchance,können,Vergehen,"(Reihe, erzeugen, Siegchance)",1
69,Additional,Spiel,erfinder_haben,Blaise_Mueller," (Spiel, sein, Brettspiel)",1
70,Additional,Spiel,dauern_können,10_bis_20_Minuten," (Spiel, sein, Brettspiel),(Spiel, spieldauer_haben, Zehn_Minuten)",1
71,Additional,Spiel,dauern_können,Individuell," (Spiel, sein, Brettspiel),(Spiel, spieldauer_haben, Zehn_Minuten)",1
72,Additional,Spieler,mindestalter_haben,Drei_Jahre,"(Spiel, haben, Spieler)",1
73,Additional,Spieler,empfehlung_mindestalter_haben,Acht_Jahre,"(Spiel, haben, Spieler)",1
74,Additional,Spielbrett,material,Holz,"(Spiel, haben, Spielbrett)",1
75,Additional,Feld,form,Rund," (Spielbrett, haben, Feld)",1
76,Additional,Spieler,identisch,Ziel," (Spiel, haben, Spieler)",1
77,Additional,Brettspiel,auf,Tisch," (Spiel, haben, Spielbrett)",1
78,Additional,Horizontal,synonym,Waagerecht,"(Anordnung, option, Horizontal)",1
79,Additional,Spielbrett,material,Holz,"(Spiel, haben, Spielbrett)",1
80,Additional,Struktur,ausprägung,Hohl,"(Struktur, sein, Figurenmerkmal)",1
81,Additional,Struktur,ausprägung,Massiv,"(Struktur, sein, Figurenmerkmal)",1
82,Additional,Spielfigur,material,Holz,"(Spiel, haben, Spielfigur)",1
83,Additional,Figurenmerkmal,wichtig,Spielziel,"(Spielfigur, haben, Figurenmerkmal)",1
84,Additional,Spielbrett,größe,15x15cm,"(Spiel, haben, Spielbrett)",1
85,Additional,Form,ausprägung,Rund,"(Form, sein, Figurenmerkmal)",1
86,Additional,Form,ausprägung,Eckig,"(Form, sein, Figurenmerkmal)",1
87,Additional,Farbe,ausprägung,Hell,"(Farbe, sein, Figurenmerkmal)",1
88,Additional,Farbe,ausprägung,Dunkel,"(Farbe, sein, Figurenmerkmal)",1
89,Additional,Unentschieden,kein,Gewinner,"(Spielausgang, option, Unentschieden)",1
90,Additional,Spielbrett,sein,Gegenstand,"(Spiel, haben, Spielbrett)",1
91,Additional,Figurenmerkmal,gleich,mindestens_1,"(Spielfigur, haben, Figurenmerkmal)",1
92,Additional,Waehlen,untypisch,Spielzug,"(Waehlen, fuer, Gegner)",1
93,Additional,Taktik,sein,Persönlich,"(Spiel, haben, Taktik)",1
94,Additional,Blocken,verhindern,Reihe,"(Blocken, sein, Passiv)",1
95,Additional,Reihe,sein,Übersehbar,"(Reihe, sein, Ziel)",1
96,Additional,Unentschieden,aufgebraucht,Figuren,"(Spielausgang, option, Unentschieden)",1
97,Additional,Spielzug,sein,Abwechselnd,"(Spiel, haben, Spielzug), (Spieler, reihenfolge, Abwechselnd)",1
98,Additional,Spielfigur,keine_feste_Zuweisung,Spieler," (Spiel, haben, Spielfigur)",1
99,Additional,Komplex,erfordert,Aufmerksamkeit,"(Spiel, sein, Komplex)",1
100,Additional,Taktik,verbessert,Siegchance,"(Spiel, haben, Taktik)",1
101,Additional,Niederlage,sein_können,Überraschend,"(Spielausgang, option, Niederlage)",1
102,Additional,Feld,struktur,4x4,"(Spielbrett, haben, Feld), (Spiel, haben, Spielbrett)",1
103,Additional,Setzen,final,Figur,,2
104,Additional,Disconnected,not_in_graph,Disconnected_Two,,1
