Block	Triple
	
Spiel	 (Spiel, nicht_sein, Brettspiel)
Spiel	 (Spiel, nicht_sein, Komplex)
Spiel	 (Spiel, spieldauer_haben, Fuenf_Minuten)
	
Spieler	 (Spiel, haben, Spieler)
Spieler	 (Spieler, Anzahl, zwei)
Spieler	 (Gegner, sein, Spieler)
Spieler	 (Spieler, reihenfolge, Abwechselnd)
Spieler	 (Spieler, gegeneinander, Gegner)
	
Ende	 (Spiel, haben, Spielausgang)
Ende	 (Spielausgang, Anzahl, drei)
Ende	 (Spielausgang, option, Sieg)
Ende	 (Spielausgang, option, Unentschieden)
Ende	 (Spielausgang, option, Niederlage)
Ende	 (Sieg, nicht_bedingung_haben, Rufen)
Ende	 (Reihe, erzeugen, Sieg)
	
Spielziel	 (Spiel, haben, Ziel)
Spielziel	 (Reihe, sein, Ziel)
Spielziel	 (Reihe, gleich, Figurenmerkmal)
Spielziel	 (Reihe, laenge, drei)
Spielziel	 (Siegbedingung, benoetigen, Reihe)
Spielziel	 (Reihe, haben, Anordnung)
Spielziel	 (Reihe, bestehen_aus, Zeichen)
Spielziel	 (Anordnung, Anzahl, drei)
Spielziel	 (Anordnung, option, Diagonal)
Spielziel	 (Anordnung, option, Vertikal)
Spielziel	 (Anordnung, option, Horizontal)
	
Spielzuege	 (Spiel, haben, Spielzug)
Spielzuege	 (Spielzug, Anzahl, eins)
Spielzuege	 (Spiel, eingeteilt_sein_in, Runde)
Spielzuege	 (Runde, enthalten, Malen)
Spielzuege	 (Malen, vergleichbar, Setzen)
Spielzuege	 (Spielzug, sein, Malen)
Spielzuege	 (Malen, dorthin, Feld)
Spielzuege	 (Malen, sein, Final)
Spielzuege	 (Malen, auf, Spielbrett)
Spielzuege	 (Malen, setzen, Zeichen)
	
Spielfiguren	 (Spiel, nicht_haben, Spielfigur)
Spielfiguren	(Spiel, haben, Zeichen)
Spielfiguren	 (Zeichen, haben, Figurenmerkmal)
Spielfiguren	 (Figurenmerkmal, Anzahl, eins)
Spielfiguren	 (Form, sein, Figurenmerkmal)
	
Spielbrett	 (Spiel, haben, Spielpapier)
Spielbrett	 (Feld, Anzahl, neun)
Spielbrett	 (Spielpapier, haben, Feld)
